Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1815.6462774461193
FDW14,OUT017,1432.8317746067162
NCN55,OUT010,589.5970282193884
FDQ58,OUT017,2494.0542198411526
FDY38,OUT027,6525.837388241727
FDH56,OUT046,2073.6095458081336
FDL48,OUT018,692.5318147732225
FDC48,OUT027,2191.149410348333
FDN33,OUT045,1504.153480100374
FDA36,OUT017,3067.0556612117143
FDT44,OUT017,1949.4273497002166
FDQ56,OUT045,1456.062611295414
NCC54,OUT019,606.8605352659315
FDU11,OUT049,2047.6262122090411
DRL59,OUT013,829.0721976332021
FDM24,OUT049,2608.2589445002804
FDI57,OUT045,3275.9949290668856
DRC12,OUT018,2925.554548913534
NCM42,OUT027,2741.987100301544
FDA46,OUT010,470.8164873267062
FDA31,OUT013,2834.880094889502
NCJ31,OUT035,3927.197737638426
FDG52,OUT046,766.0199970396048
NCL19,OUT019,351.3539418295883
FDS10,OUT035,3001.3723437527537
FDX22,OUT010,549.6906931574097
NCF19,OUT035,774.0878076154047
NCE06,OUT046,2460.2297721473788
DRC27,OUT046,4211.89010095513
FDE21,OUT035,1903.1020928478417
NCR42,OUT019,76.65756079331433
FDX51,OUT018,2772.1641473257146
NCR06,OUT018,516.0604982625417
FDU31,OUT027,5929.747113786376
FDU59,OUT017,2560.769414551775
FDR03,OUT027,5446.872327155104
FDS49,OUT027,2179.954576528313
FDD48,OUT010,273.0678548685079
NCF18,OUT017,3153.7230224778764
NCD43,OUT027,2835.868911446413
NCD54,OUT018,2077.3058420080874
FDY19,OUT010,273.41802058013633
NCY54,OUT017,2813.66682790086
NCL19,OUT018,2056.6847408962226
FDP23,OUT010,528.074563096641
FDC26,OUT013,1840.3288845873012
FDR14,OUT010,140.554193301139
NCS41,OUT035,3122.915643162453
FDF41,OUT035,4105.544358219131
FDU34,OUT046,2097.185695873953
DRH11,OUT046,879.2330199789974
FDM03,OUT013,1867.5674727076628
FDS31,OUT017,3110.125326456014
FDJ20,OUT017,2011.0889078196265
FDV44,OUT027,5200.984480373786
FDG02,OUT049,3007.3704877210703
FDA09,OUT013,3012.58785562922
FDT04,OUT013,597.1448559638413
FDL58,OUT019,643.0010985843633
